,index,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
0,0,CHEMBL281470,COc1ccc(-c2[nH]nc3c2C(=O)c2ccccc2-3)cc1,725000.0,inactive,276.295,3.2967000000000013,1.0,3.0,725000.0,3.1396619934290064
2,2,CHEMBL13462,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N(C)CCCC1CCCCC1,16000.0,inactive,569.5920000000001,2.3737999999999992,5.0,6.0,16000.0,4.795880017344075
3,3,CHEMBL414123,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCC(=O)O)[C@@H](C)CC)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O,15000.0,inactive,1473.5359999999998,-1.080600000000015,17.0,19.0,15000.0,4.823908740944319
6,6,CHEMBL413629,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCC(=O)O)[C@@H](C)CC)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O,13500.0,inactive,1507.5439999999999,-0.3251000000000093,17.0,18.0,13500.0,4.8696662315049934
7,7,CHEMBL301845,CC[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1,15000.0,inactive,525.5830000000004,2.9190000000000005,4.0,5.0,15000.0,4.823908740944319
8,8,CHEMBL301845,CC[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1,100000.0,inactive,525.5830000000004,2.9190000000000005,4.0,5.0,100000.0,4.0
20,20,CHEMBL299477,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,15000.0,inactive,803.7120000000002,-1.1303999999999899,11.0,11.0,15000.0,4.823908740944319
21,21,CHEMBL57393,CC(=O)N[C@@H](Cc1ccc(P(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N(C)CCCC1CCCCC1,14000.0,inactive,553.5930000000002,1.705299999999999,5.0,5.0,14000.0,4.853871964321762
22,23,CHEMBL58421,CC[C@H](NC(=O)[C@H](Cc1ccc(P(=O)(O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1,22000.0,inactive,509.58400000000046,2.250499999999999,4.0,4.0,22000.0,4.657577319177793
23,24,CHEMBL58421,CC[C@H](NC(=O)[C@H](Cc1ccc(P(=O)(O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1,17000.0,inactive,509.58400000000046,2.250499999999999,4.0,4.0,17000.0,4.769551078621726
24,25,CHEMBL56697,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(P(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,22000.0,inactive,787.7130000000002,-1.798899999999989,11.0,10.0,22000.0,4.657577319177793
25,27,CHEMBL328907,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,15300.0,inactive,803.7120000000002,-1.1303999999999899,11.0,11.0,15300.0,4.815308569182401
26,28,CHEMBL2092743,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)c1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,100000.0,inactive,822.7580000000003,1.1487000000000052,10.0,10.0,100000.0,4.0
27,29,CHEMBL541307,CN(C)CC(CNNC(N)=O)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,100000.0,inactive,406.91400000000016,2.2207999999999997,3.0,5.0,100000.0,4.0
28,30,CHEMBL538757,COC(=O)c1ccccc1SCC(CN(C)C)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,100000.0,inactive,500.0600000000003,5.626800000000006,0.0,6.0,100000.0,4.0
29,31,CHEMBL538507,Cc1ccc(SCC(CN(C)C)C(=O)c2ccc(OCc3ccccc3)cc2)cc1C.Cl,100000.0,inactive,470.0780000000002,6.457040000000006,0.0,4.0,100000.0,4.0
30,32,CHEMBL552859,C=C(CN(C)C)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,100000.0,inactive,331.843,3.9879000000000033,0.0,3.0,100000.0,4.0
31,33,CHEMBL544074,C=C(CN1CCCCC1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,100000.0,inactive,371.9080000000001,4.912200000000004,0.0,3.0,100000.0,4.0
32,34,CHEMBL545006,Cl.O=C(CCN1CCCCC1)c1ccc(OCc2ccccc2)cc1,100000.0,inactive,359.897,4.7461000000000055,0.0,3.0,100000.0,4.0
33,35,CHEMBL542891,CCOC(=O)C1CCN(CCC(=O)c2ccc(OCc3ccccc3)cc2)CC1.Cl,100000.0,inactive,431.96000000000015,4.535300000000004,0.0,5.0,100000.0,4.0
34,36,CHEMBL544538,C=C(CN1CCNCC1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,100000.0,inactive,372.8960000000001,3.331500000000002,1.0,4.0,100000.0,4.0
35,37,CHEMBL80030,C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)cc2)cc1,50000.0,inactive,389.4290000000001,2.4530000000000003,1.0,6.0,50000.0,4.301029995663981
36,38,CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,10000.0,inactive,270.24,2.576800000000001,3.0,5.0,10000.0,5.0
